,link,bahan,bumbu,metode
0,https://resepmamiku.com/pepes-ikan-gurame-yscooking,"1 ekor gurame, beri garam, cuci. Lalu potong2
Mangkuk alumunium foil/ mangkuk tahan panas
2 batang serai geprek
2batang daun bawang iris
3 lbr daun jeruk
2 buah belimbing wuluh iris
Rawit
1 buah tomat iris
Kaldu bubuk
1/2 sdt gula
Garam, merica","6 bawput
8 bawmer
10 cabe merah
2 cm kunyit
2 cm.jahe
4 buah kemiri sangrai","1. Tumis bumbu halus, daun jeruk, serai sampai harum, beri bumbu2. Masukkan ikan, aduk sampai bumbu terbalur rata.
2. Tuang ikan ke dlm alumunium foil . Masukkan daun bawang,belimbing wuluh, tomat dan rawit. Tutup dgn plastic wrap
3. Kukus sampai matang"
1,https://resepmamiku.com/ampela-sambal-kecombrang-matthewmaureen,"250 gr ampela potong sesuai selera
4 bh kecombrang uk. agak kecil iris
2 siung bawang merah Bandung iris
Garam, kaldu jamur, gula, air secukupnya","3 siung bawang putih
15 bh cabe rawit merah
15 bh cabe rawit hijau","1. Cuci bersih potongan ampela lalu beri garam aduk-aduk sambil di remas-remas kemudian bilas lagi dengan air bersih tiriskan
2. Rebus dalam air mendidih hingga matang kemudian bilas dengan air bersih. Tiriskan
3. Tumis bawang merah hingga layu lalu masukkan bumbu halus aduk rata masak hingga harum.
4. Tambahkan air, garam, kaldu jamur, gula aduk rata masak hingga bumbu matang. Masukkan ampela, irisan kecombrang aduk rata dan masak hingga bumbu meresap. Gunakan api kecil. Koreksi rasa
5. Angkat siap disajikan"
2,https://resepmamiku.com/sayur-asam-kangkung-dita_dwistyani,"1 ikat kangkung
300 ml air","2 siung bawang merah
1 siung bawang putih
3 bh cabai keriting merah
1 – 2 rs laos
1 lbr daun salam1⁄2 sdm garam
1⁄4 sdm kaldu jamur
1 sdm gula
Air asam jawa secukupnya (tingkat keasaman di sesuaikan dengan masing2 selera)","1. Siapkan semua bahan dan bumbu2
2. Didihkan air dan masukkan bumbu2 iris dan daun salam
3. Setelah mendidih masukkan kangkung, air asam jawa, beri garam, gula dan kaldu jamur
4. Aduk merata dan biarkan kangkung matang
5. Sesaat sebelum diangkat koreksi rasa dan siap di sajikan"
3,https://resepmamiku.com/steam-daging-sapi-cincang-yscooking,"200 gr daging sapi cincang
2 siung bawput cincang halus
1 batang daun bawang iris
1 sdm pickled lettuce, potong2 ( bila tdk ada bisa diganti potongan sawi asin)
1 sdm maizena
2 sdm kecap asin
1/2 sdm saus tiram
1 sdt minyak wijen
1 sdm arak masak (optional)
1/2 sdt gula
Garam, merica
200ml air",,Aduk rata semua bahan di atas. Kukus dgn api sedang selama 30 menit.
4,https://resepmamiku.com/potatoes-toast-qiutin-kitchen,"3 buah kentang,
Garam secukupnya
2 buah telur
1 smoked beef
Keju mozarella secukupnya
Olive oil",,"1. Kupas kentang dan parut, kemudian beri air bersihkan dan tiriskan . Beri garam dan aduk rata.
2. Panaskan teflon anti lengket , beri sedikit olive oil masukan kentang, dan ratakan di wajan , masak hingga sisi bawah matang, dan balik. Masak kembali hingga matang, angkat dan sisihkan.
3. Ulangi cara tersebut untuk adonan kentang yang kedua. Setelah 2 sisi matang beri keju mozza, dan ratakan.
4. Masukan telur di atas keju mozza dan masak hingga setengah matang, beri smoked beef, dan tutup dengan lapisan kentang yang pertama. Masak hingga matang, dan balik ,masak sebentar. Angkat."
5,https://resepmamiku.com/semur-daging-sayur-yscooking,"500gr daging sapi/ ayam iris tipis
1 buah wortel potong panjang
1 buah kentang potong2
1/2 sdt pala bubuk
1/2 sdt ketumbar
2 lbr daun salam
2 sdm Gula merah sisir
2 Kecap manis
Garam, merica","4 siung bawmer
4 siung bawput","1. Tumis duo bawang dan daun salam sampai harum. Masukan daging masak sampai berubah warna. beri bumbu2, aduk rata, masak sebentar sampai agak meresap.
2. Tuang air sampai menutupi daging. Masak sampai empuk.
3. Koreksi rasa kembali.
4. Masukan kentang dan wortel. Masak sampai matang
5. Sajikan dgn taburan bawang goreng"
6,https://resepmamiku.com/oseng-ikan-kembung-rinihasrita,"Ikan Kembung banjar yang sudah digoreng disuwir2 sisihkan
Serai, lengkuas, daun jeruk dan salam
Secukupnya garam, gula, dan penyedap rasa
1 sdm kecap manis
1/2 sdm saus tiram
Minyak untuk menumis","5 siung bawang merah
4 siung bawang putih
5 buah cabe rawit
2 buah cabe merah
1 buah cabe hijau","Tumis bumbu hingga wangi, brsama daun jeruk, daun salam, serai dan lengkuas geprek. Masukan suwiran ikan kembung tambahkan gula, garam, penyedap, kecap dan saus tiram aduk2 hingga rata tes rasa angkat sajikan"
7,https://resepmamiku.com/cumi-saos-tiram-dita_dwistyani,"2 ekr cumi besar
1 bh tomat
3-4 lbr daun jeruk","1/2 bh bawang bombay
3 siung bawang putih
10 bh cabai rawit
2 bh cabai besar (mix merah dan hijau)1⁄2 sdt lada bubuk
1⁄4 sdm garam
1 sdm gula
1⁄2 sdm kaldu jamur
2 -3 sdm saos tiram/sesuai selera
2 sdm Kecap manis/sesuai selera","1. Siapkan semua bahan dan bumbu iris. Potong cumi sesuai selera (boleh di beri perasan jeruk nipis)
2. Tumis bumbu iris dan daun jeruk hingga wangi dan matang, kemudian masukkan cumi
3.Tambahkan sedikit air, masukkan garam, gula, kaldu jamur, lada bubuk, saos tiram dan kecap manis secukupnya.
4.Tambahkan irisan tomat sesaat akan diangkat
5. Jangan lupa koreksi rasanya
Selamat mencoba"
8,https://resepmamiku.com/pepes-ikan-bandeng-yscooking,"1 ekor bandeng duri lunak/ bandeng fresh. Potong2
Mangkuk alumunium foil/ mangkuk tahan panas
Segenggam kemangi
2 batang serai geprek
4 lbr daun salam, robek2
1 batang daun bawang iris
3 lbr daun kunyit , buang urat daunnya. Iris tipis
Rawit
1 buah tomat iris
Kaldu bubuk
1/2 sdt gula
Garam, merica","6 bawput
8 bawmer
10 cabe merah
2 cm kunyit
1/2 sdt ketumbar
1 blok terasi
4 buah kemiri sangrai","1. Tumis bumbu halus, daun salam, serai sampai harum, beri bumbu2. Bagi bumbu jd 3 bagian
2. Tuang sebagian bumbu di dasar mangkuk. Masukkan daun kunyit, separuh kemangi, separuh tomat dan separuh daun bawang
3. Tata ikan di atasnya. Beri bumbu. Taruh sisa daun kemangi, daun bawang, tomat, rawit
4. Beri bumbu lg. Tutup dgn plastic wrap, kukus sampai matang"
9,https://resepmamiku.com/paprika-ayam-saus-lada-hitam-yscooking,"1 buah paprika merah
1 dada syam fillet potong kotak
2 siung bawput cincang
1/2 bawang bombay
1 sdm kecap manis
1 sdm saus tiram
1/2 sdm gula pasir
1/2 sdm lada hitam bubuk
Garam secukupnya","1 sdm kecap manis
1/2 sdm saus tiram
1/2 sdm maizena","1. Marinasi daging dgn bumbu marinasi 30 menit. Sisihkan. Lalu goreng dgn sedikit minyak, angkat.
2. Tumis bawput sampai wangi, masukkan paprika, masak sampai setengah matang.
3. Masukkan daging dan bombay, serta bumbu2. Aduk rata
4. Masak sampai matang. Angkat"
