,Unnamed: 0,judul,link,bahan,bumbu,metode
0,0,Sop Bola Udang,https://resepmamiku.com/sop-bola-udang-mgrt-erna,"300 gr udang kupas, dihaluskan
100 gr tepung sagu
2 putih telur
air es secukupnya (me : 50 ml )
1 sdt gula pasir
1/2 sdt mrica bubuk
1 sdt garam (sesuai selera )
1/2 sdt bawang putih bubuk
1/2 sdt penyedap ( bisa skip )5 siung bawang putih, digoreng
Wortel
Daun bawang
Seledri
Garam secukupnya
Mrica bubuk secukupnya
Pala bubuk secukupnya
Kaldu ayam",,"1. Campur udang yg dihaluskan, putih telur, air es, garam, merica bubuk, dan gula pasir, aduk rata. Tambahkan tepung sagu aduk rata .
2. Didihkan air , bentuk bola-bola dan rebus hingga matang . Angkat. Tiriskan.
3. Didihkan kaldu, tambahkan bawang putih goreng, masukkan wortel, bola2 udang, mrica, pala, garam ,seledri aduk rata masak hingga matang , koreksi rasa , seblm diangkat tambahkan daun bawang .
4. Sup bola bola udang siap disajikan"
1,1,Ikan Senangin Cabai Hijau,https://resepmamiku.com/ikan-senangin-cabai-hijau-dita_dwistyani,"2 ekor ikan senangin, bagi menjadi 2 bagian","5 siung bawang merah
3siung bawang putih
10 bh cabai rawit merah
10bh cabai keriting hijau1⁄2 sdt garam
1⁄2 sdt kaldu jamur
1⁄2 sdm gula pasir","1. Bersihkan ikan dan marinasi dengan garam dan kunyit bubuk secukupnya lalu goreng
2. Tumis bumbu iris hingga matang, masukkan garam,gula dan kaldu bubuk beri sedikit air
3. Lalu masukkan ikan yang sudah digoreng, tutup sebentar agar bumbu meresap dan sesekali ikan dibalik
4. Masak hingga airnya agak sat
5. Koreksi rasanya dan siap disajikan"
2,2,Ayam Masak Chilli Padi,https://resepmamiku.com/ayam-masak-chilli-padi-annasupriyanto,"500 gr ayam /sayap ayam
2 sdm tepung maizena
1 sdt ketumbar halus
3 siung bawang putih halus
Garam lada halus dan bumbu kaldu secukupnya
Sedikit baking soda","3 siung bawang putih
4 siung bawang merah
15 cabe rawit merah
5 cabe hijau besar /rawit hijau
10 cabe keriting merah
(Garam gula pasir bubuk kaldu secukupnya)","1. Cuci ayam potong 2 kasi sedikit garam jeruk nipis diamkan selama 20 mnt kemudian bilas
2. Campur semua bumbu ayam aduk rata sambil di remas” diamkan 30 mnt
3. Kemudian goreng angkat sisihkan
4. Tumis bumbu hingga harum kasi sedikit garam gula pasir bubuk kaladu aduk rata masukkan ayam aduk hingga semua tercampur rata koreksi rasa jika sdh pas angkat sajikan dgn sedikit irisan daun bawang ."
3,3,Ikan Kuah Asam Pedas,https://resepmamiku.com/ikan-kuah-asam-pedas-dhiahoddie,"2 ekor ikan salem, potong sesuai selera
Perasan jeruk nipis
1 sdt garam
(Aduk rata dan marinasi 15 menit)
1 buah tomat hijau
3 buah belimbing wuluh
Cabe rawit utuh secukupnya
2 lbr daun salam
3 lbr daun jeruk
1 batang serai
Gula, garam dan kaldu bubuk secukupnya","6 siung bawang merah
6 siung bawang putih
5 buah cabe keriting
10 buah cabe rawit
3 butir kemiri
1 ruas jahe
1 ruas kunyit","1. Tumis bumbu halus, daun salam, daun jeruk dan serai sampai harum.
2. Tuang air secukupnya, tambahkan gula, garam dan kaldu bubuk. Masukkan potongan ikan, tomat, belimbing wuluh dan cabe rawit, aduk perlahan.
3. Masak sampai matang, angkat dan sajikan."
4,4,Semur Ayam Kampung Telor Kentang,https://resepmamiku.com/semur-ayam-kampung-telor-kentang-fransiskaailen,"1 Ekor ayam kampung potong2
Kentang secukupnya
Telor rebus secukupnya
Air secukupnyaKecap asin
Kecap manis
Gula aren
Bunga Lawang
Kayu manis
Garam, penyedap jamur secukupnya",,"1.tumis bumbu halus hingga harum.masukan ayam aduk hingga berubah warna.
2.lalu masukan bahan A aduk aduk, masukan air lalu tutup wok.
3.setelah mendidih masukan telur dan kentang lalu masak hingga ayam empuk dan air menyusut.
4. Lalu angkat dan sajikan"
5,5,Tempe Pop Corn,https://resepmamiku.com/tempe-pop-corn-yscooking,"1 papan tempe, potong2 asal pakai tangan jgn terlalu besar ya","2 siung bawput
3 siung bawmerKaldu bubuk
Garam, merica
Sedikit air","Marinasi tempe dgn bumbu marinasi dan bumbu halus. Biarkan 15 menit1. Beri kurleb 3 sdm tepung pelapis ke dlm tempe yg sedang di marinasi. Aduk rata. Adonan harus kental ya
2. Lalu masukan tempe yg telah dimarinasi ke dlm tepung pelapis kering. Goreng dgn minyak panas sampai kekuningan."
6,6,Cumi Teri Pete Sambal Bawang,https://resepmamiku.com/cumi-teri-pete-sambal-bawang-matthewmaureen,"100 gr cumi asin potong 2
50 gr teri Medan
2 papan Pete kupas
Garam, gula pasir, kaldu jamur, air secukupnya","10 siung bawang merah
2 siung bawang putih
7 bh cabe rawit","1. Rendam cumi dan teri dengan air hangat selama 15 menit lalu bilas dengan air bersih. Goreng teri Medan hingga matang/garing sisihkan. Tumis cumi selama 5 menit lalu angkat, sisihkan
2. Tumis bumbu iris hingga harum tambahkan secukupnya air masukkan garam, gula pasir, kaldu jamur aduk-aduk hingga rata. Masukkan pete, cumi asin aduk-aduk hingga tercampur rata.
3. Koreksi rasa kemudian masukkan teri goreng aduk asal. Angkat sajikan ."
7,7,Ayam Masak 3 Saos,https://resepmamiku.com/ayam-masak-3-saos-dhiahoddie,"⁃ Ayam : 1 kg daging ayam (potong serasi).
⁃ Bumbu Marinasi : 1 Sachet.
⁃ Maizena : 1/2 Sendok Makan.
⁃ Air : 2 Sendok Makan.⁃ Kecap Manis : 4 Sendok Makan.
⁃ Saos Tomat : 2 Sendok Makan.
⁃ Air : 200 ml.
⁃ Merica Bubuk : 1 Sendok Teh.⁃ Bawang Putih : 3 Siung (cincang).
⁃ Jahe : 2 cm (geprek).
⁃ Minyak Goreng : 3 Sendok Makan.⁃ Bawang bombay : 1 Biji (belah – rajang tebal).
⁃ Margarin : 1 Sendok Makan.",,"1. Tumis bahan 3 sampai harum.
2. Masukkan Ayam yang sudah di marinasi. Tumis sampai ayam agak tergoreng dan berubah warna.
3. Masukkan campuran saus, masak selama 8 menit.
4. Kemudian tutup wajan, lanjutkan masak lagi dengan api sedang selama 8 menit lagi.
5. Masukkan bawang bombay dan margarin, aduk sebentar sampai bawang bombay layu, dan sampai kekentalan yang diinginkan.
6. Sajikan."
8,8,Soto Bandung  Kuah Bening,https://resepmamiku.com/soto-bandung-kuah-bening-laysisilia,"250 gr daging sengkel 500 gr tulang iga sapi, cuci bersih, rebus hingga didih, buang air rebusan pertama, bilas hinga bersih
Lalu rebus lagi hingga daging dan tulang lembut (aku presto 30 menit)
lobak putih potong2
5 bawang merah
3 bawang putih
2 ruas lengkuas memarkan
Garam, gula, kaldu dan lada secukupnya",,"Tumis duo bawang hingga wangi, masukkan daging, lengkuas dan tambahkan air kaldu. Masak hingga matang , masukkan lobak, masak hingga lobak lembut lalu bumbui dg garam, kaldu dan lada"
9,9,Ulukuteuk Leunca,https://resepmamiku.com/ulukuteuk-leunca-mariaulfah1357,"250 gr oncom, tumbuk kasar
150 gr leunca
3 buah cabe gendot, iris
5 buah cabe rawit merah, iris
Garam
Gula merah
Minyak utk menumis","4 siung bawang merah
4 siung bawang putih
4 buah cabe merah
3 ruas kencur","Tumis bumbu halus sampai matang, masukkan garam & gula merah, aduk.
Masukkan oncom, aduk & masak sampai oncom agak kering.
Masukkan leunca, cabe rawit & cabe gendot, aduk-aduk sebentar lalu angkat."
