,link,bahan,bumbu,metode
0,https://resepmamiku.com/pastel-goreng-christinsetiorini,"250 gr tepung terigu protein sedang
1/2 sdt garam
50 gr margarin lelehkan
100 ml air hangat (secukupnya)",,"1. Campur terigu dan garam aduk rata.
2. Masukkan margarin leleh. Aduk rata sambil di tuangi air hangat secara bertahap.
3. Aduk rata hingga menjadi adonan yang kalis, tidak lengket di baskom. Hentikan penambahan air jika adonan sudah pas.
4. Adonan tidak perlu diuleni, cukup dicampur rata hingga menjadi adonan yang kalis saja.
5. Bungkus adonan dengan plastik. Diamkan selama 15 – 30 menit agar adonan menjadi lebih lentur.
6. Bentuk adonan. Ambil adonan secukupnya @30 gr tipis kan/ gilas adonan, cetak bulat dengan ring cutter/ gelas/ mangkuk kecil. Beri isian secukupnya. Jika ingin bentuk bulat tutup atasnya dengan adonan yang sama. Jika ingin bentuk biasa lipat dua adonan menutupi isi. Rapatkan pinggirannya dan pilin.
7. Goreng pastel dalam minyak banyak dan sudah cukup panas hingga matang dan kedua sisinya kecoklatan. Angkat dan tiriskan.
8. Sajikan dengan sambal kacang, saus sambal encer atau cabai rawit sesuai selera."
1,https://resepmamiku.com/gulai-daun-singkong-udang-debbie_ariesthea,"2 ikat Daun singkong (aku gak ambil semua, ambil yang daun mudanya aja)
1 btg Serai , geprek
Seruas Lengkuas, geprek
2 lbr Daun salam
200 gr Udang
500 ml Santan kekentalan sedang
Secukupnya Garam, kaldu jamur & gula","8 btr Bawang merah
4 siung Bawang putih
6 bh Cabe merah
2 btr Kemiri
1/2 sdt Ketumbar
3 cm Kunyit","1. Didihkan air terlebih dahulu, tambahkan garam, soda kue dan minyak sayur secukupnya masukkan daun singkong, rebus sebentar aja, angkat bilas air bersih, peras daun singkong dan iris kasar. Sisihkan
2. Tumis bumbu halus, lengkuas, serai dan daun salam sampai harum dan matang, tuang santan, masukkan udang, beri garam, kaldu jamur & gula, biarkan mendidih lalu masukkan daun singkong, koreksi rasa, angkat dan siap disajikan."
2,https://resepmamiku.com/chicken-pok-pok-plasa-cake,"250 gr fillet ayam, potong dadu kecil2
1 sdt garam
1⁄2 sdt garlic powder
250 gr terigu protein rendah
1 butir telur
1 sdt saus tiram
1 sdt saus tomat
gula, garam, penyedap, garlic powder, merica sesuai selera",,"1. Balurkan potongan ayam dngn garam & garlic powder. Diamkan di kulkas sekitar 30 menit agar meresap.
2. Keluarkan dr kulkas, beri tepung terigu sampai semua bagian tertutup rata.
3. Kocok lepas telur dngn semua bumbu. Masukkan potongan ayam ke adonan telur.
4. Balurkan lagi dngn terigu sampai tertutup semua bagiannya. Remas2 agar hasil gorengan keriting.
5. Goreng sampai keemasan. Angkat, tiriskan. Sajikan dngn cocolan favorit"
3,https://resepmamiku.com/sawi-gulung-lim_henni,"Bahan isian :
2 bonggol sawi putih (ambil gede nya aja sekitar 15 lmbr)
500 gr fillet ayam (saya campur udang)
2 sdm tepung sagu
1 butir telur
2 sdm saus tiram
2 sdm kecap asin
4 siung bwng pth cincang
1 sdt merica
1 sdt kaldu jamur
2 sdt gula
2 sdm myk wijen
2 batang daun bawang kcl
Bahan saus siraman :
4 siung Bawang putih cincang
4 sdm Saus cabe
5 sdm Saus tomat
2 sdt Gula
1 sdt Garam
1 sdt Kaldu jamur
2 batang Daun bawang
Minyak goreng secukupnya
Air secukupnya
2 sdm maizena (larutkan dgn sedikit air)",,"1. Kukus sawi putih ampe layu atau bs jg di rebus bntr, sisihkan tunggu dingin
2. Chopper/giling ayam fillet campur bahan isian semua aduk2 tes rasa, sisihkan
3. Bungkus semua isian dgn sawi putih, gulung2 seperti bungkus risol hingga abis
4. Kukus 15menit/hingga matang dalamnya
5. Siapkan saus siraman, tumis bwng pth hingga kecoklatan masukkan saus cabe, saus tomat, gula, garam dan kaldu jamur, aduk2 masukkan air secukupnya, tes rasa, tuang larutan maizena dan daun bawang, matikan api
6 Tata sawi putih gulung di piring siram atas nya dgn saus siraman, siap disajikan"
4,https://resepmamiku.com/cah-kailan-udang-dita_dwistyani,"1 ikat kailan
6 ekr udang/secukupnya","3 siung bawang putih, cincang kasar
1⁄4 sdt garam
1⁄2 sdt kaldu jamur
1 sdt gula
1⁄4 sdt lada bubuk
Saos tiram secukupnya","1. Goreng udang sebentar saja dan sisihkan
2. Tumis bawang putih hingga wangi dan berubah warna, lalu masukkan kailan
3. Tambahkan air secukupnya, saos tiram, gula,garam, kaldu jamur dan lada
4. Aduk merata dan koreksi rasa
5. Sesaat akan diangkat masukkan udang dan biarkan airnya agak sat
6. Siap disajikan"
5,https://resepmamiku.com/tumis-ikan-pindang-dapur_dyna,"4 ekor ikan pindang
3 siung bawang merah iris
3 siung bawang putih iris
2 cabe merah besar iris
2 cabe hijau besar iris
2 sdm margarin untuk menumis
2 sdm kecap manis
1 sdm saus tiram
1 ruas lengkuas
2 lembar daun salam
2 lembar daun jeruk
100 ml air
1 sdt garam
1 sdt gula
1/4 lada",,"1. Ikan yg sudah di cuci bersih, di goreng agar tidak hancur dan lebih gurih.
2. Tumis duo bawang sampai harum mewangi dengan margarin, kemudian masukan kecap manis, saus tiram, daun jeruk, daun salam, lengkuas, garam, gula, lada beri sedikit air.
3. Masak hingga mendidih kemudian masukan ikan pindang, masak hingga air agak menyusut biar bumbu meresap."
6,https://resepmamiku.com/pangsit-goreng-ala-le-gino-dapoerliandra,"Bahan Pangsit:
300 gr daging ayam giling
100 gr tepung tapioka
1 butir telor ayam
1 sdt garam
1 sdt kaldu ayam bubuk
1 sdt gula pasir
3 siung bawang putih cincang
secukupnya Kulit pangsit rebus
Bahan tumisan:
50 gr daging ayam giling
1 batang daun bawang
2 siung bawang putih cincang
1 butir telor
1 bonggol pokcoy
1 sdm kecap manis
1 sdm saus tiram
1 sdm kecap asin
1/2 sdt lada bubuk",,"1. Campur daging ayam, dengan semua bumbu bumbu, tapioka, dan telur, aduk sampai tercampur rata.
2. Ambil selembar kulit pangsit isi dengan adonan daging tdi. Lipat dua rekatkan dengan air.
3.Rebus dengan air yang diberi sedikit minyak sayur agar tidak lengket hingga matang (mengapung), angkat tiriskan.
4. Kemudian tumis bawang putih sampai harum tambahkan daging ayam giling, telur, aduk rata. Lalu Masukan bumbu2 dan sedikit air. Aduk rata.
5. Masukkan pangsit ayam, pokcoy, aduk sampai tercampur rata. Terakhir masukan daun bawang, aduk dan koreksi rasa.
6. Angkat sajikan selagi hangat."
7,https://resepmamiku.com/telur-dadar-tahu-debbie_ariesthea,"4 btr Telur
3 bh Tahu putih, cincang kecil (aku chopper)
2 sdm Tepung beras
4 btg Daun bawang, iris halus
2 lbr Kol, iris halus
1/2 sdt Lada
1 sdt Garam
1 sdt Gula
1/2 sdm Kaldu jamur","6 btr Bawang merah
4 siung Bawang putih
6 bh Cabe merah","1. Chopper bumbu chopper dan semua bahan pakai mata pengocok telur sampai halus dan rata.
2. Tuang di dalam teflon ukuran paling kecil agar hasil telur dadar tebal. Masak sampai matang. Angkat dan sajikan."
8,https://resepmamiku.com/tongkol-suwir-matthewmaureen,"1 kg tongkol basah
1 btg daun bawang iris
1 bh jeruk nipis
2 lbr daun jeruk
Garam, kaldu jamur, gula, air secukupnya","5 bh cabe merah keriting
10 bh cabe rawit merah
1 bh tomat
5 siung bawang merah
3 siung bawang putih","1. Cuci bersih ikan tongkol lalu potong kepala nya kemudian beri perasan jeruk nipis bolak balik diamkan 10.menit. Bilas dengan air bersih
2. Kukus ikan tongkol hingga matang beri sejumput garam di atas (kurang lebih 30 menit ) jangan lupa di balik yah spy matang & rasanya sama.
3. Angkat biarkan suhu ruang lalu suwirsuwir. Saya ambil 1/2 az ( 500 gr ) sisanya saya simpan. Sisihkan
4. Tumis bumbu halus hingga harum masukkan daun jeruk tambahkan garam, kaldu jamur, gula aduk rata. Tuang air secukupnya lalu masak bumbu hingga matang.
5. Masukkan suwiran tongkol , irisan daun bawang aduk-aduk sebentar hingga tercampur rata. Koreksi rasa, angkat sajikan"
9,https://resepmamiku.com/bola-bola-kentang-keju-sosis-malichatun88,"1kg kentang, kupas lalu kukus, haluskan
2 batang daun seledri/1⁄2 sdm parseli kering
200 gr keju cheddar parut
1/2 sdt lada halus
1 sdt Bawang putih bubuk
2 Sdm tepung maizena
2 sdm tepung roti/terigu
Garam, kaldu jamur secukupnya
Isian: Sosis Sapi yg sdh dipotong",,"1. Kentang yang sudah kukus & dihaluskan, campur dengan daun seledri, bawang putih halus, lada, kaldu bubuk, keju parut, garam, maizena, aduk rata sampai bisa dibentuk bulat bulat, pipihkan beri sosis potong, bungkus dengan rapat dan bulatkan
2. Celupkan bola bola keju ke dalam bahan larutan, angkat gulingkan ke tepung roti sampai terbalut rata, lakukan sampai adonan habis
3. Goreng sampai kecoklatan, gunakan api kecil
4. Untuk stok cemilan/bekal anak2 masuk freezer oke banget"
